survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,-0.5019838403829309,1,0,-0.8183892668911183,S,Third,man,True,Unknown,Southampton,no,False
1,1,female,0.8717413404146327,1,0,3.5401273155349826,C,First,woman,False,C,Cherbourg,yes,False
1,3,female,-0.15855254518353995,0,0,-0.7724444429770357,S,Third,woman,False,Unknown,Southampton,yes,True
1,1,female,0.6141678690150896,1,0,2.3024554389765592,S,First,woman,False,C,Southampton,yes,False
0,3,male,0.6141678690150896,0,0,-0.7639361422522057,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,0.01316310241615549,0,0,-0.7361446287646207,Q,Third,man,True,Unknown,Queenstown,no,True
0,1,male,2.245466521212196,0,0,2.2182232618007407,S,First,man,True,E,Southampton,no,True
0,3,male,-2.2191403163798853,3,1,0.12262879327508967,S,Third,child,False,Unknown,Southampton,no,False
1,3,female,-0.07269472138369223,0,2,-0.5540669932532568,S,Third,woman,False,Unknown,Southampton,yes,False
1,2,female,-1.1888464307817126,1,0,0.7349405665585018,C,Second,child,False,Unknown,Cherbourg,yes,False
1,3,female,-2.04742466878019,1,1,-0.17516173209396352,S,Third,child,False,G,Southampton,yes,False
0,3,male,-0.6736994879826262,0,0,-0.7639361422522057,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,0.9575991642144804,1,5,0.816906132421225,S,Third,man,True,Unknown,Southampton,no,False
0,3,female,-1.1888464307817126,0,0,-0.7772635445075797,S,Third,child,False,Unknown,Southampton,no,True
1,2,female,2.3313243450120438,0,0,-0.22280821615301197,S,Second,woman,False,Unknown,Southampton,yes,True
0,3,male,-2.2191403163798853,4,1,0.6705633599541476,Q,Third,child,False,Unknown,Queenstown,no,False
1,2,male,0.01316310241615549,0,0,-0.42700743354893417,S,Second,man,True,Unknown,Southampton,yes,True
0,3,female,0.27073657381569866,1,0,-0.08667540455573051,S,Third,woman,False,Unknown,Southampton,no,False
1,3,female,0.01316310241615549,0,0,-0.8200909270360843,C,Third,woman,False,Unknown,Cherbourg,yes,True
0,2,male,0.6141678690150896,0,0,0.4578558418333953,S,Second,man,True,Unknown,Southampton,no,True
1,2,male,0.5283100452152418,0,0,-0.42700743354893417,S,Second,man,True,D,Southampton,yes,True
1,3,female,-1.1029886069818648,0,0,-0.7653519234928176,Q,Third,child,False,Unknown,Queenstown,yes,True
1,1,male,0.01316310241615549,0,0,1.1044866969204823,S,First,man,True,A,Southampton,yes,True
0,3,female,-1.7039933735807988,3,1,0.12262879327508967,S,Third,child,False,Unknown,Southampton,no,False
1,3,female,0.8717413404146327,1,5,0.8245636030735721,S,Third,woman,False,Unknown,Southampton,yes,False
0,3,male,0.01316310241615549,0,0,-0.8200909270360843,C,Third,man,True,Unknown,Cherbourg,no,True
1,3,female,0.01316310241615549,0,0,-0.7755618843626135,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,3,male,0.01316310241615549,0,0,-0.7744319820263561,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,1.043456988014328,0,0,0.5749845129316963,C,First,man,True,Unknown,Cherbourg,no,True
1,3,female,0.01316310241615549,0,0,-0.784356063991798,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,1,male,1.2151726356140236,1,0,2.227582392598054,S,First,man,True,Unknown,Southampton,no,False
1,3,male,0.01316310241615549,0,0,-0.8198050481317302,C,Third,man,True,Unknown,Cherbourg,yes,True
0,3,male,-0.5878416641827785,0,0,-0.7639361422522057,S,Third,man,True,Unknown,Southampton,no,True
0,3,female,-0.8454151355823217,2,0,-0.08667540455573051,S,Third,woman,False,Unknown,Southampton,no,False
1,3,female,-1.1888464307817126,1,0,-0.5466885948646841,C,Third,child,False,Unknown,Cherbourg,yes,False
0,3,female,1.043456988014328,1,0,-0.6669415139891427,S,Third,woman,False,Unknown,Southampton,no,False
0,2,female,-0.07269472138369223,1,0,0.11752381284019167,S,Second,woman,False,Unknown,Southampton,no,False
0,3,male,0.01316310241615549,0,0,-0.7744319820263561,C,Third,man,True,Unknown,Cherbourg,no,True
1,2,female,-2.1332824925800375,1,2,1.5182759910515788,C,Second,child,False,Unknown,Cherbourg,yes,False
1,3,female,-0.759557311782474,0,0,-0.7755618843626135,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,3,male,0.01316310241615549,0,0,-0.7639361422522057,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,0.01316310241615549,1,0,-0.2568414190523323,Q,Third,man,True,Unknown,Queenstown,no,False
0,3,male,0.01316310241615549,2,0,0.16375451565862856,C,Third,man,True,Unknown,Cherbourg,no,False
0,3,female,-0.8454151355823217,1,0,-0.10028868571545861,S,Third,woman,False,Unknown,Southampton,no,False
0,3,male,-1.7898511973806466,4,1,1.3895147712022902,S,Third,child,False,Unknown,Southampton,no,False
0,3,male,-0.5878416641827785,0,0,-0.7809527437018658,S,Third,man,True,Unknown,Southampton,no,True
1,2,female,0.09902092621600321,1,0,0.4578558418333953,S,Second,woman,False,Unknown,Southampton,yes,False
